Fecha,WDC,INTC,AMD
2023-05-05,65.73,38.23,159.32
2023-05-08,66.24,37.7,153.94
2023-05-09,63.3,37.92,155.62
2023-05-10,64.7,38.45,154.86
2023-05-11,66.63,38.36,152.07
2023-05-12,65.88,37.95,142.93
2023-05-15,66.12,38.12,141.55
2023-05-16,65.1,38.37,148.43
2023-05-17,65.16,38.01,146.04
2023-05-18,65.08,37.14,145.6
2023-05-19,65.18,38.37,149.52
2023-05-22,66.67,37.88,152.4
2023-05-23,65.02,38.09,154.26
2023-05-24,63.93,39.45,156.79
2023-05-25,61.27,39.84,155.08
2023-05-26,61.28,40.17,156.85
2023-05-29,58.55,39.33,160.33
2023-05-30,60.23,40.67,168.5
2023-05-31,57.52,41.23,159.54
2023-06-01,59.58,41.42,154.53
2023-06-02,62.22,41.89,146.42
2023-06-05,62.64,41.34,146.95
2023-06-06,62.01,42.35,141.17
2023-06-07,62.45,43.73,137.97
2023-06-08,62.76,43.89,135.37
2023-06-09,63.66,43.96,131.86
2023-06-12,66.14,44.58,131.31
2023-06-13,65.23,43.95,135.91
2023-06-14,65.03,44.31,135.27
2023-06-15,65.93,44.21,138.23
2023-06-16,65.67,44.87,140.9
2023-06-19,65.52,44.17,137.26
2023-06-20,64.46,43.38,140.66
2023-06-21,64.41,44.6,149.71
2023-06-22,64.46,43.35,148.18
2023-06-23,64.36,42.19,147.22
2023-06-26,64.78,41.84,144.13
2023-06-27,63.72,43.18,143.55
2023-06-28,62.57,42.88,147.46
2023-06-29,61.64,43.25,150.54
2023-06-30,62.66,44.34,148.29
2023-07-03,64.24,43.7,146.72
2023-07-04,65.94,44.34,146.8
2023-07-05,64.23,44.79,144.29
2023-07-06,62.93,44.26,145.35
2023-07-07,60.01,44.54,146.14
2023-07-10,59.25,45.37,148.71
2023-07-11,58.47,44.82,151.68
2023-07-12,56.53,44.54,149.07
2023-07-13,56.63,44.71,149.3
2023-07-14,58.06,44.89,148.06
2023-07-17,56.52,45.47,150.32
2023-07-18,58.34,44.85,150.51
2023-07-19,58.27,44.77,150.63
2023-07-20,56.09,45.44,153.46
2023-07-21,57.49,47.27,152.17
2023-07-24,57.46,47.27,160.52
2023-07-25,55.28,47.68,153.99
2023-07-26,52.15,45.94,148.11
2023-07-27,53.39,45.22,147.24
2023-07-28,52.03,45.71,142.77
2023-07-31,53.55,44.89,139.78
2023-08-01,53.71,44.91,145.43
2023-08-02,53.86,43.93,143.22
2023-08-03,53.19,44.5,144.83
2023-08-04,53.06,45.19,142.76
2023-08-07,52.91,45.33,148.94
2023-08-08,52.81,45.04,144.65
2023-08-09,53.62,44.56,146.12
2023-08-10,51.39,45.39,140.74
2023-08-11,50.52,46.25,135.55
2023-08-14,50.44,46.31,131.83
2023-08-15,51.94,47.55,124.62
2023-08-16,50.29,48.24,120.13
2023-08-17,49.87,48.35,122.52
2023-08-18,49.64,48.43,119.92
2023-08-21,51.06,47.99,121.12
2023-08-22,50.5,48.08,120.61
2023-08-23,50.33,47.19,123.36
2023-08-24,51.9,47.4,125.95
2023-08-25,52.87,48.18,127.08
2023-08-28,53.13,48.93,127.39
2023-08-29,52.0,48.94,120.72
2023-08-30,52.0,49.3,124.96
2023-08-31,52.19,50.12,125.02
2023-09-01,51.02,48.84,121.68
2023-09-04,49.5,49.39,121.04
2023-09-05,50.13,49.46,124.64
2023-09-06,51.31,48.88,123.74
2023-09-07,50.72,47.44,126.14
2023-09-08,52.05,47.43,124.46
2023-09-11,53.31,45.43,125.15
2023-09-12,53.49,44.96,130.08
2023-09-13,54.64,44.74,129.83
2023-09-14,54.19,44.32,125.14
2023-09-15,55.85,45.14,128.0
2023-09-18,54.51,46.83,135.16
2023-09-19,54.75,46.06,131.95
2023-09-20,55.26,45.3,131.89
2023-09-21,56.6,44.06,139.36
2023-09-22,58.56,43.08,133.92
2023-09-25,58.21,42.27,133.0
2023-09-26,54.91,42.1,139.78
2023-09-27,53.58,41.89,134.02
2023-09-28,54.34,41.71,141.36
2023-09-29,54.6,41.43,143.61
2023-10-02,54.0,40.42,144.9
2023-10-03,53.8,40.54,146.5
2023-10-04,53.21,40.85,153.7
2023-10-05,51.92,42.12,152.73
2023-10-06,51.06,43.95,153.47
2023-10-09,52.61,44.6,146.32
2023-10-10,52.76,44.17,140.9
2023-10-11,50.71,44.25,143.3
2023-10-12,51.16,44.0,140.17
2023-10-13,50.06,43.56,136.18
2023-10-16,49.84,43.53,132.83
2023-10-17,49.6,42.93,132.88
2023-10-18,50.16,43.07,134.71
2023-10-19,48.35,42.77,135.82
2023-10-20,49.04,41.53,136.49
2023-10-23,50.35,41.4,136.2
2023-10-24,50.86,41.58,138.84
2023-10-25,50.95,41.69,135.86
2023-10-26,50.77,42.62,135.16
2023-10-27,50.59,42.24,138.2
2023-10-30,49.65,42.93,134.65
2023-10-31,48.51,43.08,135.2
2023-11-01,48.83,43.9,133.71
2023-11-02,49.32,43.18,138.49
2023-11-03,50.02,43.59,139.29
2023-11-06,49.16,43.33,141.32
2023-11-07,49.15,43.42,136.01
2023-11-08,49.36,42.88,131.95
2023-11-09,49.2,41.44,134.59
2023-11-10,50.13,41.4,130.92
2023-11-13,49.1,41.28,122.1
2023-11-14,49.3,41.77,121.09
2023-11-15,48.78,41.9,122.34
2023-11-16,49.96,41.91,120.04
2023-11-17,49.46,42.05,125.33
2023-11-20,49.12,41.25,122.34
2023-11-21,46.87,41.49,117.74
2023-11-22,45.61,40.01,114.11
2023-11-23,46.18,39.06,108.58
2023-11-24,46.38,38.81,109.95
2023-11-27,47.14,38.8,106.01
2023-11-28,47.02,39.15,104.33
2023-11-29,45.54,39.92,103.17
2023-11-30,45.14,39.93,106.2
2023-12-01,45.41,39.69,108.28
2023-12-04,47.57,40.67,110.37
2023-12-05,46.4,43.42,106.72
2023-12-06,46.03,42.87,111.64
2023-12-07,46.47,41.76,112.53
2023-12-08,47.04,41.52,108.74
2023-12-11,46.29,41.19,108.86
2023-12-12,45.77,41.73,106.02
2023-12-13,44.04,41.17,110.08
2023-12-14,43.49,42.9,111.65
2023-12-15,42.39,42.25,112.47
2023-12-18,41.3,44.05,109.4
2023-12-19,41.93,45.2,109.12
2023-12-20,41.02,44.98,110.28
2023-12-21,41.81,45.02,106.02
2023-12-22,41.86,44.47,99.59
2023-12-25,41.23,43.32,101.27
2023-12-26,43.0,44.76,99.7
2023-12-27,42.56,45.31,102.71
2023-12-28,42.18,45.19,109.11
2023-12-29,42.09,44.79,109.53
2024-01-01,42.64,43.97,108.82
2024-01-02,41.55,43.74,114.6
2024-01-03,42.24,43.66,111.66
2024-01-04,41.96,44.48,109.96
2024-01-05,43.3,43.38,109.12
2024-01-08,44.97,41.81,112.81
2024-01-09,43.15,41.74,112.32
2024-01-10,43.94,39.36,106.34
2024-01-11,43.4,39.38,103.74
2024-01-12,43.2,38.54,102.62
2024-01-15,42.4,38.71,104.35
2024-01-16,43.75,38.24,103.47
2024-01-17,43.8,38.04,103.37
2024-01-18,42.31,38.29,100.77
2024-01-19,41.42,37.19,104.1
2024-01-22,41.3,37.96,104.95
2024-01-23,39.76,37.21,107.23
2024-01-24,39.1,36.48,106.74
2024-01-25,38.96,35.81,105.82
2024-01-26,38.56,34.14,107.36
2024-01-29,37.88,34.93,103.96
2024-01-30,36.57,35.68,99.4
2024-01-31,36.06,36.06,98.53
2024-02-01,34.76,36.18,98.04
2024-02-02,35.74,36.56,106.42
2024-02-05,34.46,36.54,103.3
2024-02-06,35.34,37.07,105.53
2024-02-07,34.74,36.57,99.59
2024-02-08,36.06,36.9,98.91
2024-02-09,36.8,37.4,101.66
2024-02-12,35.5,36.92,102.27
2024-02-13,35.78,37.55,99.43
2024-02-14,35.89,39.03,101.41
2024-02-15,36.58,39.02,103.64
2024-02-16,38.04,39.09,107.24
2024-02-19,37.32,39.5,110.01
2024-02-20,36.71,40.28,107.98
2024-02-21,36.06,40.27,113.88
2024-02-22,36.32,40.95,111.6
2024-02-23,36.39,40.07,109.87
2024-02-26,37.06,40.04,114.39
2024-02-27,36.9,39.9,118.54
2024-02-28,36.39,38.8,122.92
2024-02-29,36.72,37.28,123.13
2024-03-01,36.41,38.45,120.68
2024-03-04,35.95,37.82,117.18
2024-03-05,35.4,36.84,113.85
2024-03-06,34.16,35.84,108.94
2024-03-07,33.77,35.4,105.25
2024-03-08,34.13,35.36,104.03
2024-03-11,33.79,36.37,104.78
2024-03-12,34.15,34.67,102.92
2024-03-13,32.53,34.41,104.04
2024-03-14,32.05,34.72,101.12
2024-03-15,32.46,33.75,100.43
2024-03-18,32.77,34.07,100.12
2024-03-19,34.18,33.81,98.9
2024-03-20,32.11,34.89,97.93
2024-03-21,31.28,35.71,101.37
2024-03-22,31.36,34.79,102.61
2024-03-25,30.94,34.05,105.66
2024-03-26,29.5,34.39,107.07
2024-03-27,30.83,34.59,100.95
2024-03-28,30.27,34.63,102.01
2024-03-29,30.93,33.4,101.12
2024-04-01,31.6,34.33,106.44
2024-04-02,31.33,35.0,111.59
2024-04-03,32.17,35.46,114.23
2024-04-04,31.61,34.53,117.43
2024-04-05,31.38,34.51,115.59
2024-04-08,31.11,34.65,112.34
2024-04-09,31.17,34.8,112.15
2024-04-10,30.66,35.29,118.09
2024-04-11,30.26,36.07,121.09
2024-04-12,28.5,35.57,118.99
2024-04-15,29.0,35.69,120.63
2024-04-16,29.41,35.11,118.17
2024-04-17,28.62,35.0,117.84
2024-04-18,28.74,34.53,120.89
2024-04-19,29.32,35.49,123.35
2024-04-22,29.45,35.92,125.52
2024-04-23,29.03,36.75,131.63
2024-04-24,30.3,36.77,132.89
2024-04-25,30.58,36.76,135.26
2024-04-26,30.51,36.63,141.99
2024-04-29,30.63,36.67,145.56
2024-04-30,30.73,36.86,145.38
2024-05-01,29.91,36.84,140.82
2024-05-02,30.06,36.05,144.51
2024-05-03,30.56,36.23,144.17
2024-05-06,30.85,34.94,139.82
2024-05-07,30.75,35.16,139.58
2024-05-08,30.08,35.24,137.87
2024-05-09,29.38,35.44,137.13
2024-05-10,30.16,35.86,140.02
2024-05-13,30.38,35.31,136.42
2024-05-14,29.4,37.14,132.37
2024-05-15,29.27,36.9,131.39
2024-05-16,28.9,35.65,127.79
2024-05-17,28.02,35.57,125.4
2024-05-20,27.6,35.7,123.42
2024-05-21,28.17,35.45,124.26
2024-05-22,27.36,35.87,122.91
2024-05-23,27.61,36.07,122.38
2024-05-24,27.75,35.82,127.05
2024-05-27,28.32,36.13,122.91
2024-05-28,27.64,35.69,122.13
2024-05-29,27.92,35.11,126.22
2024-05-30,27.93,33.84,124.6
2024-05-31,26.35,33.38,122.75
2024-06-03,26.0,33.18,121.46
2024-06-04,25.66,34.07,125.65
2024-06-05,25.02,34.84,120.01
2024-06-06,24.58,35.79,112.54
2024-06-07,24.9,34.98,112.14
2024-06-10,24.8,36.04,109.65
2024-06-11,24.77,36.45,108.94
2024-06-12,24.33,36.4,109.28
2024-06-13,24.8,35.78,107.96
2024-06-14,24.99,35.67,107.45
2024-06-17,24.98,35.22,105.1
2024-06-18,25.23,34.52,108.58
2024-06-19,25.35,33.73,109.5
2024-06-20,25.45,34.19,113.1
2024-06-21,25.25,33.75,111.24
2024-06-24,24.71,33.29,112.18
2024-06-25,24.73,32.99,109.92
2024-06-26,24.92,32.69,106.77
2024-06-27,24.84,32.53,103.63
2024-06-28,25.3,33.02,103.8
2024-07-01,25.38,33.34,103.76
2024-07-02,25.88,34.33,104.05
2024-07-03,26.14,34.86,103.11
2024-07-04,25.49,35.43,98.63
2024-07-05,26.5,35.98,99.2
2024-07-08,26.54,37.11,96.62
2024-07-09,25.86,36.71,95.96
2024-07-10,25.3,36.8,96.38
2024-07-11,24.85,37.86,92.67
2024-07-12,24.16,38.11,92.18
2024-07-15,24.38,37.69,89.56
2024-07-16,24.04,37.22,90.92
2024-07-17,23.79,37.72,92.46
2024-07-18,24.34,38.33,94.54
2024-07-19,24.76,37.97,93.89
2024-07-22,23.77,38.17,92.17
2024-07-23,23.98,38.53,88.72
2024-07-24,23.45,38.28,87.48
2024-07-25,23.54,37.48,87.64
2024-07-26,22.67,36.02,89.44
2024-07-29,22.03,35.66,85.94
2024-07-30,21.35,35.4,84.99
2024-07-31,21.81,35.68,84.42
2024-08-01,22.18,36.39,85.43
2024-08-02,21.99,37.06,89.7
2024-08-05,22.31,38.23,92.07
2024-08-06,22.73,37.48,89.25
2024-08-07,22.71,36.35,87.81
2024-08-08,23.15,35.91,89.17
2024-08-09,22.47,35.59,91.77
2024-08-12,22.57,35.77,96.19
2024-08-13,23.22,35.2,99.79
2024-08-14,22.91,35.19,99.88
2024-08-15,23.46,34.47,101.2
2024-08-16,23.73,34.97,100.65
2024-08-19,24.26,34.52,103.94
2024-08-20,24.45,33.64,105.17
2024-08-21,24.56,33.43,103.06
2024-08-22,24.43,32.55,107.99
2024-08-23,23.83,32.16,111.5
2024-08-26,24.14,32.58,116.3
2024-08-27,23.98,31.96,119.1
2024-08-28,24.4,31.77,114.94
2024-08-29,25.08,32.1,110.58
2024-08-30,25.51,31.26,109.14
2024-09-02,24.89,30.9,106.65
2024-09-03,24.55,31.3,107.58
2024-09-04,24.9,31.91,106.51
2024-09-05,24.95,32.22,111.66
2024-09-06,25.45,33.01,114.9
2024-09-09,26.04,31.95,117.79
2024-09-10,26.17,31.98,116.11
2024-09-11,25.93,32.21,118.9
2024-09-12,25.08,32.34,117.09
2024-09-13,24.56,32.56,116.07
2024-09-16,24.21,32.11,117.04
2024-09-17,24.21,31.47,114.35
2024-09-18,24.12,31.7,111.04
2024-09-19,24.38,31.23,119.58
2024-09-20,23.88,30.78,120.29
2024-09-23,23.41,31.24,126.42
2024-09-24,23.22,31.33,124.65
2024-09-25,23.22,32.13,127.83
2024-09-26,22.76,33.03,132.05
2024-09-27,23.01,32.63,132.36
2024-09-30,22.61,32.9,131.25
2024-10-01,21.51,33.45,132.02
2024-10-02,22.02,33.36,132.79
2024-10-03,22.57,33.59,133.92
2024-10-04,24.17,33.49,134.63
2024-10-07,25.09,33.0,130.77
2024-10-08,24.31,33.31,133.12
2024-10-09,24.71,32.5,136.94
2024-10-10,25.37,32.44,137.13
2024-10-11,25.75,32.65,139.67
2024-10-14,25.14,32.54,135.0
2024-10-15,25.49,32.85,134.69
2024-10-16,25.66,31.92,137.99
2024-10-17,25.4,32.0,142.37
2024-10-18,24.99,32.68,142.94
2024-10-21,25.01,33.01,138.02
2024-10-22,25.34,33.04,142.09
2024-10-23,25.22,32.82,143.63
2024-10-24,25.2,32.12,142.92
2024-10-25,25.9,32.07,139.51
2024-10-28,26.32,30.99,131.3
2024-10-29,26.32,31.09,132.18
2024-10-30,25.81,31.0,127.07
2024-10-31,25.94,30.1,126.6
2024-11-01,26.09,29.14,124.81
2024-11-04,26.55,29.95,119.62
2024-11-05,26.75,29.28,115.17
2024-11-06,27.7,29.63,112.63
2024-11-07,27.84,29.97,113.26
2024-11-08,29.22,30.3,103.83
2024-11-11,29.04,29.89,103.29
2024-11-12,29.05,29.54,100.2
2024-11-13,29.93,29.85,98.37
2024-11-14,30.38,30.21,101.91
2024-11-15,29.68,30.63,100.22
2024-11-18,30.44,30.52,93.9
2024-11-19,30.47,29.54,93.38
2024-11-20,30.44,29.33,89.53
2024-11-21,29.7,28.88,88.96
2024-11-22,30.55,29.24,87.83
2024-11-25,31.41,28.52,89.55
2024-11-26,31.29,28.64,91.2
2024-11-27,30.83,29.05,91.22
2024-11-28,32.48,28.89,94.51
2024-11-29,32.94,28.27,98.16
2024-12-02,32.18,27.13,100.55
2024-12-03,32.95,27.16,99.87
2024-12-04,34.1,27.5,98.08
2024-12-05,34.66,26.88,96.6
2024-12-06,33.86,25.82,93.46
2024-12-09,34.78,25.3,92.07
2024-12-10,33.9,25.69,92.12
2024-12-11,34.27,25.64,89.14
2024-12-12,33.54,26.03,89.04
2024-12-13,34.12,24.54,91.86
2024-12-16,33.76,25.5,90.59
2024-12-17,33.78,25.8,88.41
2024-12-18,34.44,25.5,91.65
2024-12-19,35.05,25.72,89.83
2024-12-20,34.89,25.86,84.77
2024-12-23,34.48,26.29,81.8
2024-12-24,35.45,25.99,82.58
2024-12-25,34.56,26.22,83.69
2024-12-26,35.44,26.85,86.67
2024-12-27,35.61,26.26,89.93
2024-12-30,34.59,26.05,91.83
2024-12-31,34.94,26.79,91.86
2025-01-01,33.64,26.66,92.36
2025-01-02,33.39,27.33,91.76
2025-01-03,32.34,27.56,88.86
2025-01-06,33.56,27.69,85.41
2025-01-07,34.36,28.87,80.66
2025-01-08,35.05,29.12,81.1
2025-01-09,35.32,29.37,79.57
2025-01-10,36.43,28.66,83.97
2025-01-13,37.66,28.04,84.0
2025-01-14,38.84,27.79,83.66
2025-01-15,38.51,28.37,82.28
2025-01-16,38.51,28.65,81.84
2025-01-17,37.78,27.95,78.4
2025-01-20,36.81,27.08,76.84
2025-01-21,37.06,27.11,75.1
2025-01-22,36.23,26.62,72.22
2025-01-23,35.26,26.96,69.42
2025-01-24,35.28,26.66,74.17
2025-01-27,33.89,26.75,73.52
2025-01-28,33.32,26.9,73.87
2025-01-29,32.54,27.1,74.72
2025-01-30,33.49,26.8,77.83
2025-01-31,33.35,25.84,79.01
2025-02-03,33.3,25.43,81.11
2025-02-04,32.96,25.89,80.96
2025-02-05,33.51,26.21,82.08
2025-02-06,32.75,26.64,82.17
2025-02-07,34.2,26.86,83.94
2025-02-10,33.64,26.67,84.21
2025-02-11,32.78,26.1,83.99
2025-02-12,32.73,26.19,86.66
2025-02-13,32.44,26.51,86.36
2025-02-14,32.31,26.63,81.4
2025-02-17,32.37,26.32,79.32
2025-02-18,31.03,26.11,75.19
2025-02-19,31.63,26.0,71.69
2025-02-20,31.17,26.35,70.53
2025-02-21,30.98,26.17,70.31
2025-02-24,29.83,26.14,69.25
2025-02-25,31.77,26.04,68.4
2025-02-26,32.47,25.97,68.92
2025-02-27,31.85,26.69,67.74
2025-02-28,32.12,27.23,67.2
2025-03-03,32.13,27.52,68.51
2025-03-04,31.36,27.6,66.74
2025-03-05,30.86,27.28,69.04
2025-03-06,31.95,28.56,68.97
2025-03-07,31.36,28.05,72.1
2025-03-10,30.31,27.89,71.0
2025-03-11,31.48,27.38,73.22
2025-03-12,32.39,27.29,74.21
2025-03-13,31.3,27.25,73.8
2025-03-14,29.53,27.45,74.58
2025-03-17,28.44,26.75,73.05
2025-03-18,28.11,26.6,71.13
2025-03-19,27.5,26.74,70.21
2025-03-20,27.44,26.63,71.15
2025-03-21,27.35,27.04,71.39
2025-03-24,27.89,27.64,68.51
2025-03-25,28.46,28.53,66.67
2025-03-26,28.45,28.34,67.53
2025-03-27,28.78,28.0,70.05
2025-03-28,28.24,27.93,72.09
2025-03-31,29.46,27.67,73.7
2025-04-01,29.61,26.87,71.77
2025-04-02,28.83,26.63,70.97
2025-04-03,28.85,27.24,71.84
2025-04-04,30.54,27.12,73.47
2025-04-07,30.83,27.85,72.72
2025-04-08,31.41,28.66,71.29
2025-04-09,31.36,28.92,70.46
2025-04-10,30.76,29.87,70.04
2025-04-11,31.94,29.59,69.67
2025-04-14,32.51,29.48,67.95
2025-04-15,32.0,29.62,66.72
2025-04-16,32.07,28.42,65.71
2025-04-17,31.95,28.15,63.91
2025-04-18,31.34,28.18,66.61
2025-04-21,30.38,28.04,68.46
2025-04-22,30.61,27.99,67.63
2025-04-23,30.62,27.94,63.53
2025-04-24,30.15,26.95,65.86
2025-04-25,30.7,26.57,67.37
2025-04-28,32.36,26.27,69.86
2025-04-29,32.62,26.15,67.73
2025-04-30,32.23,25.97,63.37
2025-05-01,32.61,25.81,64.22
2025-05-02,32.32,27.2,61.27
2025-05-05,31.66,27.55,65.35
2025-05-06,30.98,28.45,63.7
2025-05-07,31.86,28.49,67.71
2025-05-08,33.12,28.15,73.31
2025-05-09,32.31,27.99,77.06
2025-05-12,31.79,27.66,77.38
2025-05-13,32.11,27.85,75.8
2025-05-14,32.26,28.17,79.03
2025-05-15,32.5,27.53,79.13
2025-05-16,32.06,28.18,75.46
2025-05-19,32.46,27.64,78.19
2025-05-20,33.02,27.75,79.33
2025-05-21,32.78,28.08,79.26
2025-05-22,33.32,28.11,73.79
2025-05-23,32.95,28.87,76.83
2025-05-26,33.03,28.8,76.15
2025-05-27,33.49,29.1,74.1
2025-05-28,33.99,29.74,72.16
2025-05-29,33.85,29.99,73.65
2025-05-30,33.55,29.7,72.73
2025-06-02,33.84,29.93,72.73
2025-06-03,32.83,29.34,74.06
2025-06-04,31.96,29.45,73.35
2025-06-05,31.54,29.47,76.83
2025-06-06,31.74,29.31,73.7
2025-06-09,32.11,29.9,74.99
2025-06-10,32.94,30.16,72.29
2025-06-11,32.91,30.44,73.79
2025-06-12,32.56,30.4,74.58
2025-06-13,33.48,30.95,75.97
2025-06-16,33.78,30.37,73.66
2025-06-17,33.72,30.94,74.51
2025-06-18,34.14,30.1,71.5
2025-06-19,34.99,30.08,68.91
2025-06-20,35.67,30.21,74.64
2025-06-23,36.66,30.4,74.36
2025-06-24,36.86,30.34,71.4
2025-06-25,37.62,30.49,65.93
2025-06-26,37.1,30.03,67.77
2025-06-27,37.07,30.83,64.79
2025-06-30,36.2,31.42,63.63
2025-07-01,35.36,31.12,62.31
2025-07-02,35.79,31.74,59.57
2025-07-03,35.57,31.75,59.74
2025-07-04,36.23,31.81,58.8
2025-07-07,35.35,30.76,58.22
2025-07-08,35.37,31.27,57.63
2025-07-09,37.18,31.23,56.88
2025-07-10,37.5,30.68,57.24
2025-07-11,35.81,31.05,57.37
2025-07-14,35.98,31.13,55.36
2025-07-15,35.27,32.01,56.15
2025-07-16,34.82,32.25,56.82
2025-07-17,36.32,32.89,57.5
2025-07-18,35.97,33.94,57.37
2025-07-21,35.29,33.19,56.01
2025-07-22,35.01,33.64,57.47
2025-07-23,35.91,33.73,58.84
2025-07-24,37.7,34.28,61.51
2025-07-25,36.45,33.82,60.25
2025-07-28,34.31,33.86,62.62
2025-07-29,33.92,33.98,61.16
2025-07-30,33.56,34.15,59.14
2025-07-31,34.43,32.97,59.7
2025-08-01,34.06,33.85,61.01
2025-08-04,32.51,32.37,59.33
2025-08-05,32.16,32.25,59.41
2025-08-06,32.64,31.46,56.44
2025-08-07,32.83,31.25,56.31
2025-08-08,32.37,31.15,58.68
2025-08-11,31.22,30.46,59.76
2025-08-12,32.3,30.34,57.68
2025-08-13,30.89,30.48,55.69
2025-08-14,32.37,31.77,56.07
2025-08-15,32.72,31.69,57.89
2025-08-18,32.73,31.73,60.13
2025-08-19,33.19,32.94,57.4
2025-08-20,32.79,32.4,58.78
2025-08-21,32.44,32.75,56.89
2025-08-22,32.38,34.1,59.53
2025-08-25,31.05,34.32,60.93
2025-08-26,30.71,33.64,62.09
2025-08-27,30.79,33.97,61.85
2025-08-28,32.37,33.41,61.02
2025-08-29,32.75,33.84,58.7
2025-09-01,33.69,32.95,58.74
2025-09-02,33.47,32.53,60.63
2025-09-03,31.75,32.1,59.13
2025-09-04,32.36,32.99,60.44
2025-09-05,33.36,31.67,60.75
2025-09-08,32.35,31.45,61.19
2025-09-09,32.43,32.22,57.83
2025-09-10,31.84,31.36,55.21
2025-09-11,32.55,31.46,57.64
2025-09-12,33.41,31.5,56.11
2025-09-15,34.14,31.1,54.25
2025-09-16,33.28,31.17,56.2
2025-09-17,33.33,31.85,56.37
2025-09-18,33.02,33.41,59.27
2025-09-19,33.17,32.9,56.63
2025-09-22,33.47,32.75,57.4
2025-09-23,33.72,33.0,59.27
2025-09-24,33.96,32.57,58.02
2025-09-25,34.4,31.94,59.21
2025-09-26,34.95,31.91,57.95
2025-09-29,33.59,31.26,55.34
2025-09-30,33.61,31.01,53.94
2025-10-01,34.27,31.08,54.04
2025-10-02,34.69,31.66,51.64
2025-10-03,35.24,30.62,50.52
2025-10-06,36.03,31.0,51.48
2025-10-07,36.18,31.78,49.29
2025-10-08,35.95,31.81,52.12
2025-10-09,36.77,32.4,51.04
2025-10-10,38.59,32.67,49.62
2025-10-13,40.59,31.83,48.44
2025-10-14,40.39,31.26,49.18
2025-10-15,40.65,31.33,51.81
2025-10-16,39.19,32.09,50.64
2025-10-17,40.46,33.19,53.93
2025-10-20,40.3,32.49,54.45
2025-10-21,40.26,31.46,55.6
2025-10-22,39.45,32.27,57.13
2025-10-23,39.21,32.29,56.77
2025-10-24,38.83,34.09,55.31
